고객ID,성별,연령,개시일,서비스기간,단선횟수,지불방법,요금제,이탈여부,핸드셋,고객등급
K101380,남,47,15-Sep-97,37.433333,2,선불,Play 100,이탈,SOP20,1
K101390,남,43,06-Sep-98,25.566667,5,선불,Play 100,이탈,SOP10,4
K101400,남,26,27-Dec-99,9.666667,1,선불,Play 100,이탈,SOP10,4
K101410,남,26,05-Apr-97,42.866667,1,선불,Play 100,이탈,SOP10,4
K101420,남,33,04-Jun-96,53.033333,3,선불,Play 100,이탈,SOP10,1
K101430,남,47,14-May-98,29.4,2,선불,Play 100,이탈,SOP10,
K101440,남,37,10-Sep-99,13.266667,0,선불,Play 100,이탈,SOP10,3
K101450,남,38,03-Feb-99,20.566667,9,선불,Play 100,이탈,SOP10,5
K101460,남,29,01-Sep-97,37.9,9,선불,Play 100,이탈,SOP20,1
K101470,남,30,20-Mar-97,43.4,3,선불,Play 100,이탈,SOP20,2
K101480,남,26,02-Apr-99,18.633333,2,선불,Play 100,이탈,SOP10,2
K101490,남,27,14-Oct-96,48.633333,2,선불,Play 100,이탈,SOP10,5
K101500,남,26,11-May-99,17.333333,1,선불,Play 100,이탈,SOP20,2
K101510,남,34,01-Oct-97,36.9,10,선불,Play 100,이탈,SOP10,
K101520,남,45,17-Aug-96,50.566667,1,선불,Play 100,이탈,SOP10,4
K101530,남,37,01-May-96,54.166667,2,선불,Play 100,이탈,SOP20,1
K101540,남,29,01-Jan-98,33.833333,0,선불,Play 100,이탈,SOP10,1
K101550,남,30,20-Dec-97,34.233333,0,선불,Play 100,이탈,SOP10,
K101560,남,44,12-Mar-97,43.666667,0,선불,Play 100,이탈,SOP20,2
K101570,남,26,02-Apr-97,42.966667,2,선불,Play 100,이탈,SOP10,1
K101580,남,25,05-Jul-96,52,1,선불,Play 100,이탈,SOP10,3
K101590,남,39,01-Oct-98,24.733333,2,선불,Play 100,이탈,SOP20,3
K101600,남,25,18-Dec-98,22.133333,3,선불,Play 100,이탈,SOP20,4
K101610,남,50,02-Feb-98,32.766667,1,선불,Play 100,이탈,SOP20,1
K101620,남,28,31-Jul-97,38.966667,1,선불,Play 100,이탈,SOP10,
K101630,남,33,03-Sep-99,13.5,1,선불,Play 100,이탈,SOP20,4
K101640,남,31,20-Sep-97,37.266667,1,선불,Play 100,이탈,SOP10,1
K101650,남,25,25-Jul-97,39.166667,0,선불,Play 100,이탈,SOP20,1
K101660,남,31,12-Jan-97,45.633333,2,선불,Play 100,이탈,SOP10,3
K101670,남,25,11-Jun-98,28.466667,0,선불,Play 100,이탈,SOP20,4
K101680,남,25,15-Dec-98,22.233333,0,선불,Play 100,이탈,SOP10,
K101690,남,33,01-Aug-98,26.766667,1,선불,Play 100,이탈,SOP20,
K101700,남,28,23-Feb-99,19.9,9,선불,Play 100,이탈,SOP10,
K101710,남,30,27-Aug-99,13.733333,11,선불,Play 100,이탈,SOP10,4
K101720,남,36,26-Apr-96,54.333333,2,선불,Play 100,이탈,SOP20,1
K101730,남,45,09-Feb-98,32.533333,2,선불,Play 100,이탈,SOP10,1
K101740,남,35,01-Jun-96,53.133333,2,선불,Play 100,이탈,SOP20,4
K101750,남,44,19-Nov-97,35.266667,2,선불,Play 100,이탈,SOP20,1
K101760,남,28,25-Mar-98,31.066667,7,선불,Play 100,이탈,SOP20,4
K101770,남,30,06-May-99,17.5,0,선불,Play 100,이탈,SOP20,5
K101780,남,33,25-Aug-98,25.966667,0,선불,Play 100,이탈,SOP20,3
K101790,남,30,04-Feb-97,44.866667,1,선불,Play 100,이탈,SOP10,3
K101800,남,40,21-Jul-96,51.466667,2,선불,Play 100,이탈,SOP10,5
K101810,남,44,14-May-99,17.233333,1,선불,Play 100,이탈,SOP20,5
K101820,남,26,03-Jun-96,53.066667,0,선불,Play 100,이탈,SOP20,2
K101830,남,37,16-Oct-98,24.233333,1,선불,Play 100,이탈,SOP20,3
K101840,남,30,23-Jan-98,33.1,1,선불,Play 100,이탈,SOP10,1
K101850,남,29,08-Dec-97,34.633333,1,선불,Play 100,이탈,SOP20,2
K101860,남,28,12-Aug-99,14.233333,0,선불,Play 100,이탈,SOP10,5
K101870,남,31,12-Oct-98,24.366667,2,선불,Play 100,유지,SOP20,3
K101880,남,45,27-Mar-98,31,2,선불,Play 100,이탈,SOP10,2
K101890,남,33,27-May-99,16.8,1,선불,Play 100,이탈,SOP20,2
K101900,남,39,26-Jul-98,26.966667,0,선불,Play 100,이탈,SOP10,2
K101910,남,25,04-Jun-98,28.7,0,선불,Play 100,이탈,SOP10,5
K101920,남,29,09-May-99,17.4,0,선불,Play 100,이탈,SOP10,1
K101930,남,25,02-Apr-98,30.8,1,선불,Play 100,이탈,SOP10,
K101940,남,33,01-Jan-99,21.666667,0,선불,Play 100,이탈,SOP10,5
K101950,남,34,28-Jul-97,39.066667,1,선불,Play 100,이탈,SOP20,5
K101960,남,39,20-May-97,41.366667,2,선불,Play 100,이탈,SOP10,1
K101970,남,33,27-May-98,28.966667,2,선불,Play 100,이탈,SOP20,3
K101980,남,28,27-Apr-99,17.8,1,선불,Play 100,이탈,SOP10,
K101990,남,41,05-Dec-97,34.733333,0,선불,Play 100,이탈,SOP20,1
K102000,남,32,03-Oct-97,36.833333,6,선불,Play 100,이탈,SOP10,5
K102010,남,32,25-Jan-96,57.4,2,선불,Play 100,이탈,SOP10,4
K102020,남,38,15-Aug-96,50.633333,6,선불,Play 100,이탈,SOP20,4
K102030,남,37,05-Aug-97,38.8,7,선불,Play 100,이탈,SOP20,3
K102040,남,26,11-Mar-99,19.366667,2,선불,Play 100,이탈,SOP20,2
K102050,남,36,07-Oct-96,48.866667,1,선불,Play 100,이탈,SOP10,5
K102060,여,55,31-May-97,41,1,선불,CAT 50,이탈,SOP20,2
K102070,여,68,01-Jun-97,40.966667,1,선불,CAT 50,이탈,SOP10,3
K102080,남,57,18-Jan-98,33.266667,0,선불,CAT 50,이탈,SOP10,2
K102090,남,59,03-Feb-96,57.1,0,선불,CAT 50,이탈,SOP10,4
K102100,여,56,01-Apr-96,55.166667,2,선불,CAT 50,이탈,SOP20,5
K102110,여,58,02-Dec-99,10.5,1,선불,CAT 50,이탈,SOP10,1
K102120,남,75,09-Aug-98,26.5,10,선불,CAT 50,이탈,SOP10,3
K102130,남,56,31-Jan-99,20.666667,2,선불,CAT 50,이탈,SOP20,4
K102140,여,63,31-May-99,16.666667,0,선불,CAT 50,이탈,SOP20,
K102150,남,70,17-Sep-96,49.533333,2,선불,CAT 50,이탈,SOP10,
K102160,여,51,13-Mar-97,43.633333,1,선불,CAT 50,이탈,SOP10,5
K102170,남,64,26-Dec-98,21.866667,11,선불,CAT 50,이탈,SOP20,1
K102180,여,55,18-Apr-98,30.266667,0,선불,CAT 50,이탈,SOP10,1
K102190,남,54,17-Nov-96,47.5,2,선불,CAT 50,이탈,SOP20,4
K102200,남,51,11-Oct-96,48.733333,6,선불,CAT 50,이탈,SOP10,1
K102210,여,55,23-Dec-96,46.3,5,선불,CAT 50,이탈,SOP20,2
K102220,남,61,14-Apr-99,18.233333,2,선불,CAT 50,이탈,SOP20,3
K102230,남,58,07-Jul-98,27.6,1,선불,CAT 50,이탈,SOP10,
K102240,여,67,09-Jan-96,57.933333,1,선불,CAT 50,이탈,SOP10,2
K102250,남,55,24-Dec-99,9.766667,0,선불,CAT 50,이탈,SOP20,1
K102260,여,58,14-Oct-97,36.466667,0,선불,CAT 50,이탈,SOP20,2
K102270,남,54,14-Aug-98,26.333333,0,선불,CAT 50,이탈,SOP20,1
K102280,여,56,13-Nov-96,47.633333,2,선불,Play 100,이탈,SOP10,2
K102290,남,64,28-Jun-99,15.733333,8,선불,Play 100,이탈,SOP20,5
K102300,남,54,19-Mar-97,43.433333,1,선불,Play 100,이탈,SOP10,4
K102310,여,55,18-Jul-97,39.4,1,선불,Play 100,이탈,SOP10,3
K102320,여,57,07-Dec-97,34.666667,8,선불,Play 100,이탈,SOP10,4
K102330,여,58,02-Mar-98,31.833333,9,선불,Play 100,이탈,SOP20,1
K102340,여,54,24-May-99,16.9,7,선불,Play 100,이탈,SOP20,2
K102350,남,53,12-Dec-97,34.5,2,선불,Play 100,이탈,SOP20,2
K102360,여,62,25-Jun-99,15.833333,2,선불,Play 100,이탈,SOP10,5
K102370,여,54,01-Aug-98,26.766667,1,선불,Play 100,이탈,SOP10,
K102380,남,51,23-Jul-98,27.066667,1,선불,Play 100,이탈,SOP10,4
K102390,남,63,17-Feb-98,32.266667,1,선불,Play 100,이탈,SOP20,2
K102400,남,70,08-Mar-97,43.8,2,선불,Play 100,이탈,SOP10,
K102410,여,55,14-Jul-97,39.533333,2,선불,Play 100,이탈,SOP10,1
K102420,남,59,28-Jan-98,32.933333,0,선불,Play 100,이탈,SOP20,4
K102430,남,56,07-May-97,41.8,2,선불,Play 100,이탈,SOP20,3
K102440,여,51,26-Mar-96,55.366667,2,선불,Play 100,이탈,SOP20,1
K102450,남,59,06-Sep-97,37.733333,1,선불,Play 100,이탈,SOP20,5
K102460,남,57,01-Jun-96,53.133333,0,선불,Play 100,유지,SOP20,4
K102470,남,64,16-Aug-99,14.1,11,선불,Play 100,이탈,SOP20,2
K102480,남,53,26-Sep-99,12.733333,2,선불,Play 100,이탈,SOP10,4
K102490,여,59,10-Jan-98,33.533333,0,선불,Play 100,이탈,SOP20,1
K102500,남,61,16-Feb-97,44.466667,2,선불,Play 100,이탈,SOP10,2
K102510,여,52,23-Dec-96,46.3,4,선불,Play 100,이탈,SOP10,1
K102520,여,67,09-Aug-99,14.333333,0,선불,Play 100,이탈,SOP10,5
K102530,여,62,17-Jun-98,28.266667,2,선불,Play 100,이탈,SOP20,5
K102540,여,53,01-Apr-99,18.666667,2,선불,Play 100,유지,SOP20,2
K102550,남,57,06-Jun-97,40.8,1,선불,Play 100,이탈,SOP20,3
K102560,남,51,12-May-98,29.466667,1,선불,Play 100,이탈,SOP10,3
K102570,여,63,21-Apr-97,42.333333,9,선불,Play 100,이탈,SOP10,5
K102580,남,56,15-Jul-97,39.5,2,선불,Play 100,이탈,SOP10,4
K102590,여,62,22-Sep-98,25.033333,1,선불,Play 100,이탈,SOP20,2
K102600,여,45,02-Oct-98,24.7,2,선불,CAT 100,유지,ASAD170,2
K102610,여,34,27-Sep-98,24.866667,2,선불,CAT 100,이탈,ASAD90,4
K102620,여,26,10-Dec-99,10.233333,0,선불,CAT 100,유지,S50,1
K102630,여,35,02-Oct-96,49.033333,1,선불,CAT 100,유지,ASAD170,4
K102640,남,27,07-Jan-96,58,5,선불,CAT 100,유지,S50,2
K102650,남,30,21-Apr-99,18,10,선불,CAT 100,유지,S50,2
K102660,여,31,17-Jul-98,27.266667,2,선불,CAT 100,유지,S80,1
K102670,여,33,10-Jun-99,16.333333,1,선불,CAT 100,이탈,ASAD90,
K102680,여,35,21-May-98,29.166667,0,선불,CAT 100,이탈,ASAD90,1
K102690,여,74,28-Sep-99,12.666667,0,선불,CAT 100,유지,ASAD170,3
K102700,여,34,15-Jun-98,28.333333,1,선불,CAT 100,유지,S50,4
K102710,남,31,02-Sep-98,25.7,10,선불,CAT 100,유지,S50,2
K102720,남,34,06-Mar-96,56.033333,2,선불,CAT 100,이탈,ASAD90,3
K102730,남,27,28-Feb-96,56.266667,1,선불,CAT 100,유지,S50,3
K102740,여,26,25-May-96,53.366667,2,선불,CAT 100,이탈,ASAD90,
K102750,여,40,01-Feb-98,32.8,0,선불,CAT 100,유지,ASAD170,2
K102760,남,52,31-Jul-96,51.133333,1,선불,CAT 100,이탈,ASAD90,5
K102770,여,27,26-Apr-97,42.166667,1,선불,CAT 100,이탈,ASAD90,5
K102780,여,32,01-Jun-96,53.133333,1,선불,CAT 100,유지,ASAD170,2
K102790,여,35,10-Dec-97,34.566667,1,선불,CAT 100,유지,S80,1
K102800,남,34,05-Oct-97,36.766667,0,선불,CAT 100,유지,S80,1
K102810,남,38,14-May-96,53.733333,1,선불,CAT 100,이탈,ASAD90,3
K102820,여,31,17-Nov-96,47.5,0,선불,CAT 100,이탈,ASAD90,
K102830,여,48,15-Oct-97,36.433333,2,선불,CAT 100,유지,ASAD170,3
K102840,여,26,15-Jul-98,27.333333,6,선불,CAT 100,유지,S50,4
K102850,여,70,28-Jul-98,26.9,0,선불,CAT 100,이탈,ASAD90,1
K102860,남,40,03-Mar-96,56.133333,1,선불,CAT 100,유지,ASAD90,5
K102870,남,26,16-Sep-96,49.566667,1,선불,CAT 100,이탈,ASAD90,1
K102880,남,41,17-Apr-98,30.3,0,선불,CAT 100,유지,ASAD170,2
K102890,여,48,17-May-99,17.133333,1,선불,CAT 100,이탈,S80,2
K102900,여,29,19-Jan-96,57.6,0,선불,CAT 100,유지,ASAD170,2
K102910,남,44,06-Apr-97,42.833333,6,선불,CAT 100,유지,S50,4
K102920,남,33,13-Apr-97,42.6,2,선불,CAT 100,유지,S50,1
K102930,여,34,15-Jun-98,28.333333,2,선불,CAT 100,이탈,ASAD90,5
K102940,남,53,17-Nov-98,23.166667,2,선불,CAT 100,유지,ASAD170,
K102950,남,31,18-Jun-96,52.566667,11,선불,CAT 100,유지,ASAD170,5
K102960,남,28,17-Sep-96,49.533333,5,선불,CAT 100,이탈,ASAD90,5
K102970,여,29,22-Jul-98,27.1,2,선불,CAT 100,유지,ASAD170,2
K102980,여,47,13-Nov-97,35.466667,2,선불,CAT 100,이탈,ASAD90,
K102990,여,31,16-Jan-98,33.333333,6,선불,CAT 100,유지,ASAD170,2
K103000,여,27,23-Jun-98,28.066667,5,선불,CAT 100,유지,S80,
K103010,여,31,12-Dec-97,34.5,5,선불,CAT 100,유지,ASAD170,3
K103020,여,34,11-Sep-96,49.733333,2,선불,CAT 100,유지,S80,3
K103030,남,44,20-Jan-98,33.2,0,선불,CAT 100,유지,ASAD170,2
K103040,남,64,22-Jan-97,45.3,1,선불,CAT 100,유지,ASAD170,3
K103050,여,52,18-Apr-97,42.433333,1,선불,CAT 100,유지,ASAD90,3
K103060,여,50,05-Jan-99,21.533333,1,선불,CAT 100,유지,ASAD170,4
K103070,여,33,05-Jun-98,28.666667,0,선불,CAT 100,이탈,ASAD90,3
K103080,남,26,07-Apr-96,54.966667,2,선불,CAT 100,이탈,ASAD90,5
K103090,남,32,03-Jan-97,45.933333,1,선불,CAT 100,유지,S50,5
K103100,남,31,09-Jun-96,52.866667,1,선불,CAT 100,이탈,ASAD90,1
K103110,남,35,01-Nov-98,23.7,10,선불,CAT 100,유지,S80,5
K103120,남,68,06-Mar-99,19.533333,0,선불,CAT 100,유지,ASAD170,3
K103130,여,49,14-Apr-97,42.566667,7,선불,CAT 100,유지,S80,2
K103140,남,42,18-Jan-96,57.633333,7,선불,CAT 100,유지,S80,2
K103150,여,29,08-Dec-97,34.633333,10,선불,CAT 100,유지,ASAD170,4
K103160,남,32,11-Feb-97,44.633333,1,선불,CAT 100,유지,S50,1
K103170,여,36,11-Feb-97,44.633333,0,선불,CAT 100,이탈,ASAD90,5
K103180,남,27,10-Dec-97,34.566667,2,선불,CAT 100,유지,S80,5
K103190,남,30,18-Jan-97,45.433333,0,선불,CAT 100,이탈,ASAD90,
K103200,여,29,19-Dec-98,22.1,2,선불,CAT 100,유지,S80,5
K103210,남,32,15-Nov-98,23.233333,2,선불,CAT 100,이탈,ASAD90,5
K103220,여,27,15-Aug-97,38.466667,2,선불,CAT 100,유지,S80,
K103230,남,26,07-Oct-97,36.7,0,선불,CAT 100,유지,ASAD170,2
K103240,남,46,25-Oct-96,48.266667,8,선불,CAT 100,유지,S50,2
K103250,남,47,05-Jan-97,45.866667,2,선불,CAT 100,유지,S50,5
K103260,여,30,16-May-99,17.166667,0,선불,CAT 100,유지,S50,2
K103270,여,66,12-Nov-96,47.666667,0,선불,CAT 100,유지,S50,3
K103280,남,27,31-Mar-98,30.866667,10,선불,CAT 100,유지,S50,2
K103290,남,42,10-Apr-96,54.866667,1,선불,CAT 100,유지,S50,1
K103300,여,56,13-Dec-96,46.633333,1,선불,CAT 100,유지,S50,4
K103310,여,29,21-Jan-98,33.166667,1,선불,CAT 100,유지,S50,1
K103320,남,40,18-Sep-96,49.5,10,선불,CAT 100,이탈,ASAD170,
K103330,여,27,10-Jan-99,21.366667,10,선불,CAT 100,유지,S50,3
K103340,여,48,11-Jun-98,28.466667,1,선불,CAT 100,이탈,ASAD90,3
